playlist_id,track_id,in_spotify_playlists,in_apple_playlists,in_deezer_playlists
633,633,1370,46,60
634,634,315,27,31
635,635,651,6,20
636,636,12382,229,1370
637,637,625,10,13
638,638,8429,85,200
639,639,52898,203,8215
640,640,3436,32,46
641,641,918,34,30
642,642,181,16,7
643,643,18778,228,2453
644,644,22730,289,2430
645,645,5542,52,65
646,646,9021,242,272
647,647,4627,38,32
648,648,2229,27,24
649,649,2575,4,12
650,650,3107,4,22
651,651,3486,20,33
652,652,1443,9,22
653,653,3028,22,23
654,654,1796,8,18
655,655,2729,3,13
656,656,1195,8,13
657,657,892,10,11
658,658,1635,4,6
659,659,2291,9,8
660,660,1029,5,9
661,661,1681,10,13
662,662,1480,1,5
663,663,829,4,10
664,664,2308,7,7
665,665,1004,8,9
666,666,1367,48,34
667,667,1112,7,12
668,668,1209,9,14
669,669,9539,162,355
670,670,1992,35,3
671,671,897,6,8
672,672,2948,10,150
673,673,1860,1,3
674,674,802,16,23
675,675,2224,48,87
676,676,1103,0,0
677,677,2265,93,173
678,678,555,10,4
679,679,2050,52,46
680,680,1493,2,10
681,681,1545,1,4
682,682,2350,28,23
683,683,1929,2,4
684,684,710,16,18
685,685,1194,0,3
686,686,349,10,3
687,687,1890,3,2
688,688,1308,23,9
689,689,4531,135,119
690,690,1657,15,3
691,691,1351,26,17
692,692,608,5,14
693,693,1211,31,19
694,694,629,18,9
695,695,1301,23,15
696,696,1329,42,32
697,697,343,4,11
698,698,13101,137,582
699,699,2939,29,30
700,700,407,5,5
701,701,1492,26,15
702,702,2264,11,25
703,703,801,42,24
704,704,829,32,26
705,705,736,5,17
706,706,4449,80,66
707,707,3218,29,79
708,708,327,5,12
709,709,4576,79,93
710,710,2313,34,29
711,711,3983,73,119
712,712,279,0,6
713,713,2302,20,39
714,714,3559,36,31
715,715,2129,23,44
716,716,5328,54,900
717,717,1401,26,17
718,718,1933,13,31
719,719,1986,7,15
720,720,1057,51,19
721,721,5115,109,301
722,722,2094,8,18
723,723,2171,18,28
724,724,896,19,15
725,725,5148,90,365
726,726,2528,63,270
727,727,1900,15,23
728,728,896,0,2
729,729,8775,33,107
730,730,5290,139,142
731,731,10211,38,65
732,732,584,12,8
733,733,246,4,0
734,734,514,5,1
735,735,6080,112,406
736,736,9724,222,259
737,737,2341,37,38
738,738,5263,66,61
739,739,2402,45,26
740,740,795,26,15
741,741,571,19,14
742,742,832,18,24
743,743,565,6,11
744,744,41231,228,6720
745,745,4526,156,150
746,746,2814,38,25
747,747,1601,11,2
748,748,894,28,54
749,749,945,49,57
750,750,767,25,22
751,751,5898,129,128
752,752,685,17,24
753,753,1452,16,20
754,754,2107,51,50
755,755,1379,23,18
756,756,625,13,12
757,757,2688,39,36
758,758,2668,38,78
759,759,799,14,9
760,760,1189,17,16
761,761,367,28,195
762,762,527,10,3
763,763,17504,63,1315
764,764,3113,54,124
765,765,782,15,6
766,766,2442,81,248
767,767,1112,22,65
768,768,2520,93,84
769,769,19806,33,274
770,770,615,14,15
771,771,2537,49,67
772,772,1647,20,23
773,773,2019,117,107
774,774,1473,25,25
775,775,1613,21,13
776,776,30992,124,7827
777,777,10826,24,805
778,778,920,10,8
779,779,308,6,6
780,780,2468,15,0
781,781,1097,18,13
782,782,330,3,2
783,783,1584,38,24
784,784,1585,78,328
785,785,766,16,9
786,786,836,14,13
787,787,430,14,9
788,788,2020,77,119
789,789,6858,31,15
790,790,3682,41,158
791,791,1639,86,80
792,792,452,2,13
793,793,991,36,13
794,794,869,14,12
795,795,648,0,30
796,796,1545,22,15
797,797,1930,24,17
798,798,1948,12,16
799,799,1608,10,12
800,800,1338,9,7
801,801,1936,7,13
802,802,1794,26,17
803,803,1652,26,10
804,804,1715,4,8
805,805,486,8,7
806,806,1007,6,3
807,807,481,10,15
808,808,1045,8,2
809,809,1060,3,5
810,810,1274,1,11
811,811,953,61,37
812,812,1180,4,8
813,813,573,2,7
814,814,1320,29,17
815,815,782,27,32
