music_id,track_id,bpm,mode,key,danceability_%,valence_%,energy_%,acousticness_%,liveness_%,speechiness_%
411,411,81,Major,G#,47,33,68,24,22,38
412,412,150,Major,C#,79,77,46,5,11,7
413,413,110,Major,A,66,19,32,69,12,4
414,414,108,Major,G,64,4,40,6,10,6
415,415,130,Minor,E,89,48,74,30,7,36
416,416,164,Major,G,70,39,56,6,9,7
417,417,114,Minor,B,80,42,68,2,66,4
418,418,93,Major,F,63,93,88,1,12,4
419,419,90,Minor,C#,87,51,69,36,9,8
420,420,128,Major,B,45,35,68,78,39,8
421,421,97,Major,A,83,47,80,2,24,9
422,422,152,Minor,G,69,94,71,79,7,8
423,423,175,Major,G#,51,94,34,73,10,5
424,424,116,Major,D,61,48,55,67,16,8
425,425,80,Minor,F,33,51,59,76,44,6
426,426,93,Minor,B,63,34,86,26,21,39
427,427,135,Minor,A,70,60,58,4,16,3
428,428,109,Major,F,60,45,47,62,31,5
429,429,125,Minor,B,85,64,81,2,7,9
430,430,121,Minor,G,80,62,51,2,9,8
431,431,123,Minor,F#,74,35,73,0,21,5
432,432,122,Minor,B,67,50,67,15,30,4
433,433,121,Minor,A#,70,35,77,1,26,4
434,434,135,Major,C#,41,27,64,36,60,3
435,435,87,Minor,E,49,49,59,44,35,21
436,436,111,Major,G#,77,74,66,30,13,3
437,437,110,Major,D,75,85,84,10,31,19
438,438,78,Minor,A,27,10,49,62,49,5
439,439,180,Major,D,65,37,58,2,4,31
440,440,86,Minor,A,28,13,41,50,19,3
441,441,88,Minor,C#,74,55,85,1,5,22
442,442,97,Major,C#,68,72,78,4,7,5
443,443,134,Minor,B,71,59,80,13,36,5
444,444,116,Major,D,75,36,76,12,10,10
445,445,170,Minor,E,64,14,70,9,9,8
446,446,118,Minor,G,75,46,76,3,9,4
447,447,133,Minor,F#,82,52,61,38,14,27
448,448,122,Major,A#,77,25,62,34,23,3
449,449,88,Major,C#,53,55,73,9,3,5
450,450,170,Minor,F,70,61,44,40,37,4
451,451,94,Minor,F,46,55,50,71,10,11
452,452,170,Major,A#,65,46,47,12,13,16
453,453,90,Minor,E,79,79,70,57,66,8
454,454,78,Major,G,40,7,29,62,9,3
455,455,94,Major,D,57,36,58,5,15,3
456,456,73,Major,D,83,11,41,0,36,14
457,457,176,Major,C#,73,79,86,42,7,18
458,458,128,Minor,D#,81,57,63,40,10,4
459,459,82,Major,D,63,85,62,6,35,4
460,460,95,Major,D,77,40,47,2,9,3
461,461,123,Minor,B,75,93,86,8,14,3
462,462,110,Minor,E,73,14,57,40,11,5
463,463,96,Minor,C#,66,76,82,47,10,32
464,464,88,Minor,D,56,58,55,35,23,11
465,465,98,Minor,A,73,60,85,17,24,5
466,466,110,Minor,C#,86,31,53,43,11,6
467,467,110,Major,G#,79,70,36,0,6,11
468,468,78,Minor,C#,77,49,42,1,13,19
469,469,129,Major,G#,83,44,62,2,8,6
470,470,181,Major,A,44,22,60,61,42,9
471,471,144,Major,D,74,39,65,5,11,35
472,472,101,Major,D,66,18,68,9,12,4
473,473,84,Major,D,67,78,63,29,12,5
474,474,154,Major,F#,66,63,69,21,11,7
475,475,148,Major,F,59,72,62,18,9,3
476,476,146,Minor,F,85,22,37,13,7,30
477,477,120,Minor,B,77,51,79,20,26,6
478,478,141,Major,C#,59,56,63,12,6,36
479,479,108,Minor,A,46,23,48,75,14,4
480,480,180,Major,A,35,41,94,0,5,5
481,481,122,Major,A#,77,51,79,5,16,5
482,482,85,Major,A#,59,33,52,7,12,3
483,483,148,Major,C#,68,29,73,0,7,7
484,484,120,Major,A,83,59,73,6,5,11
485,485,120,Major,E,72,54,71,26,10,4
486,486,110,Major,A#,63,31,35,93,29,3
487,487,169,Major,F#,39,36,45,81,8,13
488,488,118,Major,C#,80,21,55,1,26,17
489,489,92,Minor,G#,91,79,66,32,9,16
490,490,112,Major,D#,45,19,60,63,9,6
491,491,140,Major,D,79,56,91,26,13,21
492,492,105,Major,G#,73,52,76,13,5,3
493,493,178,Major,F,76,63,77,14,15,22
494,494,108,Minor,G,96,71,42,57,8,9
495,495,173,Major,A,40,19,29,86,34,4
496,496,101,Major,C#,67,40,90,3,34,6
497,497,120,Minor,G#,80,24,62,41,11,23
498,498,133,Major,C#,75,96,61,0,18,4
499,499,158,Minor,G#,46,62,83,53,97,28
500,500,120,Major,A,81,92,90,9,8,7
501,501,102,Major,G,74,45,89,5,26,13
502,502,124,Minor,G#,79,79,84,2,5,5
503,503,90,Minor,E,73,31,45,85,11,3
504,504,161,Minor,F#,78,65,52,46,12,31
505,505,120,Major,G,60,11,33,90,8,5
506,506,150,Minor,E,78,47,70,18,15,9
507,507,105,Major,G#,76,58,84,10,13,10
508,508,79,Major,F#,63,76,67,38,6,4
509,509,146,Minor,C#,52,7,61,51,11,3
510,510,124,Major,E,64,8,37,79,9,5
511,511,126,Major,F#,53,66,85,2,24,4
512,512,121,Major,G#,75,53,74,2,11,5
513,513,136,Minor,B,80,33,60,0,32,14
514,514,102,Minor,A,77,26,63,58,11,5
515,515,77,Major,G,73,54,74,23,41,23
516,516,84,Minor,B,44,22,48,38,33,24
517,517,102,Major,G#,89,77,82,3,17,11
518,518,120,Major,G#,42,33,26,92,13,3
519,519,117,Major,C#,52,73,91,0,11,7
520,520,168,Major,C#,67,29,47,5,22,26
521,521,94,Major,C#,52,68,69,13,33,8
522,522,145,Major,G#,41,65,88,0,26,5
523,523,134,Major,C#,71,14,61,1,23,33
524,524,148,Major,C#,35,24,93,0,10,8
525,525,127,Minor,E,60,40,89,9,60,6
526,526,172,Minor,F#,74,79,66,11,8,16
527,527,90,Major,B,75,19,46,21,34,8
528,528,96,Major,G,57,30,40,38,26,3
529,529,138,Minor,G,74,65,67,46,36,4
530,530,120,Major,G,72,67,72,0,13,4
531,531,125,Major,A,70,65,74,1,34,4
532,532,123,Major,D,82,80,86,1,30,13
533,533,81,Major,F#,79,44,54,41,13,24
534,534,171,Major,C#,55,10,85,7,8,20
535,535,91,Major,B,77,60,32,84,8,5
536,536,84,Minor,G,56,61,76,10,14,11
537,537,115,Minor,F,90,74,54,16,13,28
538,538,122,Minor,F#,80,62,69,28,13,7
